sample_name	depth	sex	ploidy	bamfile
TT95866	32.992	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95866_qsorted_merged_nodup_filtered_sorted.bam
TT95867	29.0111	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95867_qsorted_merged_nodup_filtered_sorted.bam
TT95871	34.8395	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95871_qsorted_merged_nodup_filtered_sorted.bam
TT95873	26.9165	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95873_qsorted_merged_nodup_filtered_sorted.bam
TT95875	32.4723	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95875_qsorted_merged_nodup_filtered_sorted.bam
TT95876	26.9918	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95876_qsorted_merged_nodup_filtered_sorted.bam
TT95878	30.669	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95878_qsorted_merged_nodup_filtered_sorted.bam
TT95879	26.4969	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95879_qsorted_merged_nodup_filtered_sorted.bam
TT95880	34.4435	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95880_qsorted_merged_nodup_filtered_sorted.bam
TT95881	29.4544	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95881_qsorted_merged_nodup_filtered_sorted.bam
TT95882	20.4402	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95882_qsorted_merged_nodup_filtered_sorted.bam
TT95884	29.2115	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95884_qsorted_merged_nodup_filtered_sorted.bam
TT95885	38.3309	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95885_qsorted_merged_nodup_filtered_sorted.bam
TT95887	30.0828	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95887_qsorted_merged_nodup_filtered_sorted.bam
TT95888	30.7001	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95888_qsorted_merged_nodup_filtered_sorted.bam
TT95889	36.6754	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95889_qsorted_merged_nodup_filtered_sorted.bam
246	19.8481	HOMGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/246_qsorted_merged_nodup_filtered_sorted.bam
95694	23.0684	HETGAM	2	/cfs/klemming/projects/snic/snic2020-2-25/user_data/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/95694_qsorted_merged_nodup_filtered_sorted.bam
